     Index              y_true              y_pred        descriptor_1        descriptor_2
        28    0.9944004230E+00    0.1056839123E+01   -0.3004182244E+01    0.2231713925E+03
        29    0.1058331164E+01    0.1323839432E+01   -0.3845311825E+01    0.1342446199E+03
        30    0.9543756420E+00    0.1226896948E+01   -0.3831095016E+01    0.1970764729E+03
        31    0.9940212870E+00    0.1129937658E+01   -0.3816771902E+01    0.2599083260E+03
        32    0.1111249766E+01    0.1323839432E+01   -0.3845311825E+01    0.1342446199E+03
        33    0.8405589810E+00    0.9359673785E+00   -0.3787798659E+01    0.3855720321E+03
        34    0.9557065150E+00    0.1130312610E+01   -0.3674224812E+01    0.2447066045E+03
        35    0.7999844320E+00    0.9359754305E+00   -0.3642930790E+01    0.3703703106E+03
        36    0.1011915204E+01    0.1130312610E+01   -0.3674224812E+01    0.2447066045E+03
        37    0.1166193745E+01    0.1324566920E+01   -0.3704994651E+01    0.1190428984E+03
        38    0.8335985850E+00    0.9345922737E+00   -0.3485522050E+01    0.3547761676E+03
        39    0.1033415076E+01    0.1226734892E+01   -0.3536491380E+01    0.1662806084E+03
        40    0.9922741040E+00    0.1129379909E+01   -0.3519665362E+01    0.2291124615E+03
        41    0.9714315640E+00    0.1031999245E+01   -0.3502676911E+01    0.2919443146E+03
        42    0.8607430470E+00    0.9345922737E+00   -0.3485522050E+01    0.3547761676E+03
        43    0.9359528220E+00    0.9345922737E+00   -0.3485522050E+01    0.3547761676E+03
        44    0.8250073490E+00    0.9312550081E+00   -0.3312445603E+01    0.3388350985E+03
        45    0.8666041810E+00    0.9312550081E+00   -0.3312445603E+01    0.3388350985E+03
        46    0.1046079090E+01    0.1028950377E+01   -0.3331424682E+01    0.2760032455E+03
        47    0.9011571690E+00    0.1121287064E+01   -0.3161577295E+01    0.1969194226E+03
        48    0.8256932940E+00    0.9251823150E+00   -0.3119102759E+01    0.3225831287E+03
        49    0.1026581306E+01    0.1277033705E+01   -0.4052897546E+01    0.1870764730E+03
        50    0.1065672895E+01    0.1277033705E+01   -0.4052897546E+01    0.1870764730E+03
        51    0.1097754042E+01    0.1180501021E+01   -0.4041272868E+01    0.2499083260E+03
        52    0.1017595671E+01    0.1083957703E+01   -0.4029580926E+01    0.3127401791E+03
        53    0.9537272880E+00    0.9900904738E+00   -0.3889897412E+01    0.3603703107E+03
        54    0.1082797442E+01    0.1282371248E+01   -0.3793080854E+01    0.1562806085E+03
        55    0.9412543120E+00    0.9919431953E+00   -0.3752956768E+01    0.3447761677E+03
        56    0.1142203276E+01    0.1282371248E+01   -0.3793080854E+01    0.1562806085E+03
        57    0.9494693120E+00    0.9926118290E+00   -0.3605219077E+01    0.3288350986E+03
        58    0.1131676110E+01    0.1186596255E+01   -0.3634281802E+01    0.2031713924E+03
        59    0.1132038739E+01    0.1186077725E+01   -0.3476071042E+01    0.1869194226E+03
        60    0.1124946498E+01    0.1086002148E+01   -0.3284420308E+01    0.2332176424E+03
        61    0.1073837830E+01    0.1323536121E+01   -0.4251711557E+01    0.1770764730E+03
        62    0.1215438767E+01    0.1419753949E+01   -0.4261344659E+01    0.1142446199E+03
        63    0.1238501220E+01    0.1419753949E+01   -0.4261344659E+01    0.1142446199E+03
        64    0.1175085314E+01    0.1323536121E+01   -0.4251711557E+01    0.1770764730E+03
        65    0.1176600873E+01    0.1424782119E+01   -0.4148230845E+01    0.9904289839E+02
        66    0.1162153250E+01    0.1328479797E+01   -0.4138063291E+01    0.1618747515E+03
        67    0.1144471643E+01    0.1232169538E+01   -0.4127845526E+01    0.2247066045E+03
        68    0.1210064411E+01    0.1328479797E+01   -0.4138063291E+01    0.1618747515E+03
        69    0.1150448585E+01    0.1332969756E+01   -0.4017804122E+01    0.1462806085E+03
        70    0.1183161542E+01    0.1332969756E+01   -0.4017804122E+01    0.1462806085E+03
        71    0.1154692047E+01    0.1236560956E+01   -0.4006963051E+01    0.2091124615E+03
        72    0.1198415083E+01    0.1332969756E+01   -0.4017804122E+01    0.1462806085E+03
        73    0.1199862232E+01    0.1140142830E+01   -0.3996062997E+01    0.2719443146E+03
        74    0.1157553123E+01    0.1240246854E+01   -0.3878310646E+01    0.1931713924E+03
        75    0.1074349053E+01    0.1047165979E+01   -0.3854963206E+01    0.3188350985E+03
        76    0.1201215953E+01    0.1240246854E+01   -0.3878310646E+01    0.1931713924E+03
        77    0.1071881661E+01    0.1147508463E+01   -0.3578139379E+01    0.2232176424E+03
        78    0.1052991973E+01    0.1050650154E+01   -0.3564455008E+01    0.2860494954E+03
        79    0.1121494245E+01    0.1050650154E+01   -0.3564455008E+01    0.2860494954E+03
        80    0.1161381516E+01    0.1146954175E+01   -0.3414562961E+01    0.2064265505E+03
        81    0.1261100078E+01    0.1463216416E+01   -0.4440929895E+01    0.1042446199E+03
        82    0.1029103684E+01    0.1079232499E+01   -0.4408010588E+01    0.3555720321E+03
        83    0.1271803459E+01    0.1469714127E+01   -0.4337111457E+01    0.8904289845E+02
        84    0.1228426257E+01    0.1373662517E+01   -0.4328529749E+01    0.1518747514E+03
        85    0.1220446402E+01    0.1181543041E+01   -0.4311263501E+01    0.2775384577E+03
        86    0.1294854271E+01    0.1469714127E+01   -0.4337111457E+01    0.8904289845E+02
        87    0.1235963879E+01    0.1373662517E+01   -0.4328529749E+01    0.1518747514E+03
        88    0.1154101557E+01    0.1283725894E+01   -0.4209967753E+01    0.1991124615E+03
        89    0.1173198940E+01    0.1187590833E+01   -0.4200858185E+01    0.2619443146E+03
        90    0.1138563491E+01    0.1091449498E+01   -0.4191708936E+01    0.3247761676E+03
        91    0.1255388027E+01    0.1187590833E+01   -0.4200858185E+01    0.2619443146E+03
        92    0.1159797050E+01    0.1091449498E+01   -0.4191708936E+01    0.3247761676E+03
        93    0.1142003735E+01    0.1193192376E+01   -0.4084322929E+01    0.2460032456E+03
        94    0.1190420141E+01    0.1289410503E+01   -0.4093957913E+01    0.1831713924E+03
        95    0.1206571952E+01    0.1193192376E+01   -0.4084322929E+01    0.2460032456E+03
        96    0.1137497746E+01    0.1198146506E+01   -0.3960728712E+01    0.2297512757E+03
        97    0.1173098699E+01    0.1101823781E+01   -0.3950432095E+01    0.2925831287E+03
        98    0.1248321018E+01    0.1198146506E+01   -0.3960728712E+01    0.2297512757E+03
        99    0.1128982925E+01    0.1105785830E+01   -0.3817877499E+01    0.2760494954E+03
       100    0.1170611891E+01    0.1105785830E+01   -0.3817877499E+01    0.2760494954E+03
       101    0.1112717795E+01    0.1205144233E+01   -0.3687305520E+01    0.1964265506E+03
       102    0.1139969414E+01    0.1108569967E+01   -0.3675417818E+01    0.2592584035E+03
       103    0.1287188650E+01    0.1504480069E+01   -0.4606606846E+01    0.9424461995E+02
       104    0.1068982026E+01    0.1121214888E+01   -0.4578233802E+01    0.3455720322E+03
       105    0.1133411985E+01    0.1128714725E+01   -0.4480754175E+01    0.3303703107E+03
       106    0.1267757798E+01    0.1416315907E+01   -0.4502997284E+01    0.1418747515E+03
       107    0.1229972086E+01    0.1143230201E+01   -0.4271942973E+01    0.2988350986E+03
       108    0.1186147186E+01    0.1149933471E+01   -0.4159412698E+01    0.2825831288E+03
       109    0.1236144088E+01    0.1252183083E+01   -0.4049583016E+01    0.2032176424E+03
       110    0.1226436247E+01    0.1257596761E+01   -0.3923756127E+01    0.1864265505E+03
       111    0.1180095923E+01    0.1165656324E+01   -0.3778848539E+01    0.2322302230E+03
       112    0.1209179578E+01    0.1165656324E+01   -0.3778848539E+01    0.2322302230E+03
       113    0.1277910168E+01    0.1543930628E+01   -0.4760815317E+01    0.8424461983E+02
       114    0.1261313025E+01    0.1352587952E+01   -0.4748462614E+01    0.2099083260E+03
       115    0.1313990836E+01    0.1543930628E+01   -0.4760815317E+01    0.8424461983E+02
       116    0.1253258462E+01    0.1448260558E+01   -0.4754646989E+01    0.1470764730E+03
       117    0.1318586076E+01    0.1352587952E+01   -0.4748462614E+01    0.2099083260E+03
       118    0.1265138072E+01    0.1256912792E+01   -0.4742262088E+01    0.2727401791E+03
       119    0.1131022211E+01    0.1161235063E+01   -0.4736045305E+01    0.3355720321E+03
       120    0.1293577982E+01    0.1552624274E+01   -0.4670886960E+01    0.6904289833E+02
       121    0.1282379401E+01    0.1456916215E+01   -0.4664478338E+01    0.1318747515E+03
       122    0.1246500173E+01    0.1361205366E+01   -0.4658052058E+01    0.1947066045E+03
       123    0.1288522647E+01    0.1265491705E+01   -0.4651607997E+01    0.2575384576E+03
       124    0.1199614068E+01    0.1169775213E+01   -0.4645146032E+01    0.3203703106E+03
       125    0.1340287634E+01    0.1552624274E+01   -0.4670886960E+01    0.6904289833E+02
       126    0.1304671229E+01    0.1456916215E+01   -0.4664478338E+01    0.1318747515E+03
       127    0.1306825712E+01    0.1465589773E+01   -0.4570681936E+01    0.1162806085E+03
       128    0.1248603488E+01    0.1369836706E+01   -0.4563988618E+01    0.1791124615E+03
       129    0.1278199752E+01    0.1274080526E+01   -0.4557275609E+01    0.2419443146E+03
       130    0.1249384501E+01    0.1178321210E+01   -0.4550542765E+01    0.3047761676E+03
       131    0.1323635863E+01    0.1465589773E+01   -0.4570681936E+01    0.1162806085E+03
       132    0.1319588715E+01    0.1274080526E+01   -0.4557275609E+01    0.2419443146E+03
       133    0.1258877043E+01    0.1178321210E+01   -0.4550542765E+01    0.3047761676E+03
       134    0.1247163425E+01    0.1378351281E+01   -0.4465879335E+01    0.1631713924E+03
       135    0.1251040859E+01    0.1282547849E+01   -0.4458867439E+01    0.2260032455E+03
       136    0.1257726646E+01    0.1186740920E+01   -0.4451833421E+01    0.2888350985E+03
       137    0.1276734016E+01    0.1378351281E+01   -0.4465879335E+01    0.1631713924E+03
       138    0.1296671171E+01    0.1282547849E+01   -0.4458867439E+01    0.2260032455E+03
       139    0.1279163675E+01    0.1186740920E+01   -0.4451833421E+01    0.2888350985E+03
       140    0.1250650922E+01    0.1386621237E+01   -0.4363258913E+01    0.1469194226E+03
       141    0.1243627711E+01    0.1290764916E+01   -0.4355912475E+01    0.2097512757E+03
       142    0.1243441192E+01    0.1194904664E+01   -0.4348541173E+01    0.2725831287E+03
       143    0.1279494578E+01    0.1386621237E+01   -0.4363258913E+01    0.1469194226E+03
       144    0.1273794446E+01    0.1194904664E+01   -0.4348541173E+01    0.2725831287E+03
       145    0.1223983330E+01    0.1298598395E+01   -0.4247846066E+01    0.1932176424E+03
       146    0.1278853304E+01    0.1298598395E+01   -0.4247846066E+01    0.1932176424E+03
       147    0.1264029673E+01    0.1202677932E+01   -0.4240093908E+01    0.2560494954E+03
       148    0.1237773687E+01    0.1209914253E+01   -0.4125795893E+01    0.2392584035E+03
       149    0.1259736077E+01    0.1305903359E+01   -0.4133982245E+01    0.1764265505E+03
       150    0.1265410494E+01    0.1209914253E+01   -0.4125795893E+01    0.2392584035E+03
       151    0.1230637042E+01    0.1216447070E+01   -0.4004787784E+01    0.2222302229E+03
       152    0.1301933776E+01    0.1581855594E+01   -0.4905373871E+01    0.7424461981E+02
       153    0.1219972977E+01    0.1486299722E+01   -0.4899927883E+01    0.1370764729E+03
       154    0.1292750945E+01    0.1390741932E+01   -0.4894469763E+01    0.1999083260E+03
       155    0.1297214659E+01    0.1295182214E+01   -0.4888999442E+01    0.2627401792E+03
       156    0.1156631073E+01    0.1199620555E+01   -0.4883516852E+01    0.3255720321E+03
       157    0.1284347135E+01    0.1486299722E+01   -0.4899927883E+01    0.1370764729E+03
       158    0.1330274438E+01    0.1390741932E+01   -0.4894469763E+01    0.1999083260E+03
       159    0.1167516683E+01    0.1199620555E+01   -0.4883516852E+01    0.3255720321E+03
       160    0.1328019727E+01    0.1591397043E+01   -0.4820808169E+01    0.5904289831E+02
       161    0.1309011924E+01    0.1495810647E+01   -0.4815169105E+01    0.1218747514E+03
       162    0.1314491867E+01    0.1304631563E+01   -0.4803851182E+01    0.2475384577E+03
       163    0.1371790285E+01    0.1591397043E+01   -0.4820808169E+01    0.5904289831E+02
       164    0.1343467618E+01    0.1304631563E+01   -0.4803851182E+01    0.2475384577E+03
       165    0.1251690299E+01    0.1209038852E+01   -0.4798172167E+01    0.3103703106E+03
       166    0.1336093858E+01    0.1505423880E+01   -0.4727316491E+01    0.1062806084E+03
       167    0.1324345094E+01    0.1314177425E+01   -0.4715572421E+01    0.2319443147E+03
       168    0.1297613569E+01    0.1218550720E+01   -0.4709678385E+01    0.2947761676E+03
       169    0.1330433560E+01    0.1409801807E+01   -0.4721451759E+01    0.1691124615E+03
       170    0.1363891919E+01    0.1314177425E+01   -0.4715572421E+01    0.2319443147E+03
       171    0.1308090797E+01    0.1218550720E+01   -0.4709678385E+01    0.2947761676E+03
       172    0.1291213212E+01    0.1419364617E+01   -0.4629972935E+01    0.1531713925E+03
       173    0.1314795502E+01    0.1323703070E+01   -0.4623858513E+01    0.2160032456E+03
       174    0.1309760257E+01    0.1419364617E+01   -0.4629972935E+01    0.1531713925E+03
       175    0.1346107418E+01    0.1323703070E+01   -0.4623858513E+01    0.2160032456E+03
       176    0.1324501592E+01    0.1228038959E+01   -0.4617727877E+01    0.2788350985E+03
       177    0.1287726905E+01    0.1428800738E+01   -0.4534728925E+01    0.1369194226E+03
       178    0.1292750683E+01    0.1237392563E+01   -0.4521961914E+01    0.2625831287E+03
       179    0.1308740320E+01    0.1428800738E+01   -0.4534728925E+01    0.1369194226E+03
       180    0.1331140351E+01    0.1333098072E+01   -0.4528354418E+01    0.1997512758E+03
       181    0.1309795904E+01    0.1237392563E+01   -0.4521961914E+01    0.2625831287E+03
       182    0.1267104614E+01    0.1342252340E+01   -0.4428642470E+01    0.1832176425E+03
       183    0.1289311457E+01    0.1246500706E+01   -0.4421958215E+01    0.2460494954E+03
       184    0.1309782299E+01    0.1342252340E+01   -0.4428642470E+01    0.1832176425E+03
       185    0.1311749990E+01    0.1246500706E+01   -0.4421958215E+01    0.2460494954E+03
       186    0.1254454776E+01    0.1351050888E+01   -0.4324226105E+01    0.1664265506E+03
       187    0.1278822412E+01    0.1255247480E+01   -0.4317214358E+01    0.2292584035E+03
       188    0.1289254102E+01    0.1351050888E+01   -0.4324226105E+01    0.1664265506E+03
       189    0.1308528765E+01    0.1255247480E+01   -0.4317214358E+01    0.2292584035E+03
       190    0.1289832024E+01    0.1263506523E+01   -0.4207125250E+01    0.2122302229E+03
       191    0.1310200602E+01    0.1618475641E+01   -0.5041678342E+01    0.6424461996E+02
       192    0.1274438356E+01    0.1523013752E+01   -0.5036826827E+01    0.1270764729E+03
       193    0.1328666541E+01    0.1427550382E+01   -0.5031965947E+01    0.1899083260E+03
       194    0.1337414505E+01    0.1332085525E+01   -0.5027095659E+01    0.2527401791E+03
       195    0.1193649722E+01    0.1236619173E+01   -0.5022215915E+01    0.3155720321E+03
       196    0.1345685085E+01    0.1533260955E+01   -0.4956725276E+01    0.1118747514E+03
       197    0.1340711703E+01    0.1437772510E+01   -0.4951705783E+01    0.1747066045E+03
       198    0.1372718884E+01    0.1342282452E+01   -0.4946676093E+01    0.2375384577E+03
       199    0.1302694782E+01    0.1246790774E+01   -0.4941636153E+01    0.3003703106E+03
       200    0.1367097507E+01    0.1543676504E+01   -0.4873947599E+01    0.9628060839E+02
       201    0.1367462537E+01    0.1352643405E+01   -0.4863553077E+01    0.2219443146E+03
       202    0.1333109700E+01    0.1458609258E+01   -0.4782878906E+01    0.1431713924E+03
       203    0.1335182570E+01    0.1363061979E+01   -0.4777487270E+01    0.2060032456E+03
       204    0.1322034925E+01    0.1373440377E+01   -0.4688203507E+01    0.1897512757E+03
       205    0.1330941187E+01    0.1277858262E+01   -0.4682591519E+01    0.2525831287E+03
       206    0.1295802846E+01    0.1307677907E+01   -0.4391194645E+01    0.2022302228E+03
       207    0.1297892038E+01    0.1558580804E+01   -0.5166470721E+01    0.1170764729E+03
       208    0.1383255607E+01    0.1463196178E+01   -0.5162107924E+01    0.1799083261E+03
       209    0.1242103026E+01    0.1272423417E+01   -0.5153360139E+01    0.3055720322E+03
       210    0.1378146497E+01    0.1664874062E+01   -0.5094915742E+01    0.3904289839E+02
       211    0.1364098613E+01    0.1569469901E+01   -0.5090429378E+01    0.1018747514E+03
       212    0.1345774207E+01    0.1474064487E+01   -0.5085935091E+01    0.1647066046E+03
       213    0.1414094866E+01    0.1378657815E+01   -0.5081432847E+01    0.2275384576E+03
       214    0.1335480231E+01    0.1283249880E+01   -0.5076922612E+01    0.2903703108E+03
       215    0.1359502783E+01    0.1485152269E+01   -0.5007409535E+01    0.1491124616E+03
       216    0.1361347433E+01    0.1294292500E+01   -0.4998111385E+01    0.2747761677E+03
       217    0.1363101793E+01    0.1400907231E+01   -0.4921541605E+01    0.1960032455E+03
       218    0.1373896166E+01    0.1305452145E+01   -0.4916733121E+01    0.2588350987E+03
       219    0.1354442808E+01    0.1507601662E+01   -0.4842512115E+01    0.1169194227E+03
       220    0.1354561060E+01    0.1412121522E+01   -0.4837545160E+01    0.1797512757E+03
       221    0.1374006135E+01    0.1316639767E+01   -0.4832567985E+01    0.2425831288E+03
       222    0.1338743914E+01    0.1423282418E+01   -0.4750525862E+01    0.1632176424E+03
       223    0.1360752251E+01    0.1327771524E+01   -0.4745364376E+01    0.2260494956E+03
       224    0.1320765850E+01    0.1434307974E+01   -0.4660196121E+01    0.1464265505E+03
       225    0.1330123202E+01    0.1349536465E+01   -0.4560634584E+01    0.1922302230E+03
       226    0.1351556611E+01    0.1688460640E+01   -0.5293697625E+01    0.4424461995E+02
       227    0.1347864184E+01    0.1593143409E+01   -0.5289761130E+01    0.1070764729E+03
       228    0.1420871290E+01    0.1497825251E+01   -0.5285818767E+01    0.1699083261E+03
       229    0.1369752192E+01    0.1402506162E+01   -0.5281870515E+01    0.2327401790E+03
       230    0.1274295047E+01    0.1307186138E+01   -0.5277916351E+01    0.2955720322E+03
       231    0.1375448402E+01    0.1604598101E+01   -0.5217297381E+01    0.9187475142E+02
       232    0.1410174950E+01    0.1509262489E+01   -0.5213244618E+01    0.1547066046E+03
       233    0.1418061626E+01    0.1413925880E+01   -0.5209185543E+01    0.2175384576E+03
       234    0.1413962932E+01    0.1616316829E+01   -0.5142762778E+01    0.7628060840E+02
       235    0.1373421604E+01    0.1520962488E+01   -0.5138591547E+01    0.1391124616E+03
       236    0.1425418251E+01    0.1425607075E+01   -0.5134413532E+01    0.2019443145E+03
       237    0.1406853406E+01    0.1330250585E+01   -0.5130228706E+01    0.2647761677E+03
       238    0.1377656359E+01    0.1532832080E+01   -0.5061703955E+01    0.1231713925E+03
       239    0.1400092802E+01    0.1437456423E+01   -0.5057397886E+01    0.1860032455E+03
       240    0.1412630947E+01    0.1342079604E+01   -0.5053084471E+01    0.2488350986E+03
       241    0.1390842981E+01    0.1449391760E+01   -0.4977962321E+01    0.1697512756E+03
       242    0.1400681728E+01    0.1353992975E+01   -0.4973509961E+01    0.2325831288E+03
       243    0.1367557618E+01    0.1461337476E+01   -0.4895907290E+01    0.1532176424E+03
       244    0.1388273374E+01    0.1365914865E+01   -0.4891304226E+01    0.2160494955E+03
       245    0.1345548828E+01    0.1473221163E+01   -0.4811005538E+01    0.1364265505E+03
       246    0.1382422113E+01    0.1377772602E+01   -0.4806238335E+01    0.1992584036E+03
       247    0.1372922776E+01    0.1626817597E+01   -0.5407431975E+01    0.9707647293E+02
       248    0.1416544965E+01    0.1531556137E+01   -0.5403848253E+01    0.1599083261E+03
       249    0.1414820474E+01    0.1436293926E+01   -0.5400259771E+01    0.2227401791E+03
       250    0.1270228203E+01    0.1341030959E+01   -0.5396666514E+01    0.2855720321E+03
       251    0.1417399081E+01    0.1734050686E+01   -0.5341821769E+01    0.1904289843E+02
       252    0.1397916785E+01    0.1638775210E+01   -0.5338149382E+01    0.8187475143E+02
       253    0.1447050584E+01    0.1543498933E+01   -0.5334471935E+01    0.1447066046E+03
       254    0.1452413797E+01    0.1448221854E+01   -0.5330789411E+01    0.2075384576E+03
       255    0.1389819862E+01    0.1352943969E+01   -0.5327101792E+01    0.2703703106E+03
       256    0.1436600063E+01    0.1651032302E+01   -0.5267020129E+01    0.6628060841E+02
       257    0.1420549213E+01    0.1555740200E+01   -0.5263242580E+01    0.1291124616E+03
       258    0.1453066518E+01    0.1460447239E+01   -0.5259459600E+01    0.1919443146E+03
       259    0.1434502871E+01    0.1365153417E+01   -0.5255671170E+01    0.2547761676E+03
       260    0.1417766434E+01    0.1472881016E+01   -0.5186140681E+01    0.1760032455E+03
       261    0.1447654713E+01    0.1377570121E+01   -0.5182244256E+01    0.2388350985E+03
       262    0.1404276286E+01    0.1580774253E+01   -0.5114694072E+01    0.9691942271E+02
       263    0.1416537790E+01    0.1485446007E+01   -0.5110687901E+01    0.1597512757E+03
       264    0.1429559461E+01    0.1390116767E+01   -0.5106675439E+01    0.2225831287E+03
       265    0.1406422019E+01    0.1498072475E+01   -0.5032938875E+01    0.1432176424E+03
       266    0.1421355888E+01    0.1402723461E+01   -0.5028801333E+01    0.2060494954E+03
       267    0.1381375333E+01    0.1510694993E+01   -0.4952710496E+01    0.1264265505E+03
       268    0.1402858217E+01    0.1415324588E+01   -0.4948437647E+01    0.1892584035E+03
       269    0.1547181646E+01    0.1310361357E+01   -0.2616152156E+01    0.1425093935E+02
       270    0.9535863910E+00    0.9393819300E+00   -0.2393781046E+01    0.2370764729E+03
       271    0.1245338208E+01    0.1043472237E+01   -0.2453210410E+01    0.1742446199E+03
       272    0.6100633000E+00    0.6813632548E+00    0.1464591888E+01    0.3540362210E+01
       273    0.6826667500E+00    0.6813632548E+00    0.1464591888E+01    0.3540362210E+01
       274    0.5185346720E+00    0.6159398984E+00    0.1279438862E+01    0.6637221533E+02
       275    0.3011722980E+00    0.3787137828E+00    0.2849690852E+01    0.5905961892E+02
       276    0.2325735330E+00    0.3541427982E+00    0.2933189372E+01    0.6660408720E+02
       277    0.2826828770E+00    0.2531204430E+00    0.2973212836E+01    0.1294359403E+03
       278    0.1841239560E+00    0.2531204430E+00    0.2973212836E+01    0.1294359403E+03
       279    0.1635460110E+00    0.9710569956E-01    0.3478628823E+01    0.1799374442E+03
       280    0.1622353020E+00    0.1872774666E+00    0.3507239238E+01    0.1171055910E+03
       281    0.2468148980E+00    0.9710569956E-01    0.3478628823E+01    0.1799374442E+03
       282    0.2341624580E+00    0.3420398540E+00    0.3563100121E+01    0.8558115089E+01
       283    0.1682773920E+00    0.1872774666E+00    0.3507239238E+01    0.1171055910E+03
       284    0.1544400580E+00    0.3420398540E+00    0.3563100121E+01    0.8558115089E+01
       285    0.1274745250E+00    0.1872774666E+00    0.3507239238E+01    0.1171055910E+03
       286    0.2511576790E+00    0.9710569956E-01    0.3478628823E+01    0.1799374442E+03
       287    0.1710773730E+00    0.1129320929E+00    0.4003929268E+01    0.1143332614E+03
       288    0.3298780980E+00   -0.6949682184E-01    0.3959899223E+01    0.2399969676E+03
       289    0.2202380950E+00    0.2042032350E+00    0.4025585738E+01    0.5150140837E+02
       290    0.1110082690E+00    0.2169839352E-01    0.3982035958E+01    0.1771651145E+03
       291    0.1405113080E+00    0.2042032350E+00    0.4025585738E+01    0.5150140837E+02
       292    0.3269762910E+00   -0.6949682184E-01    0.3959899223E+01    0.2399969676E+03
       293    0.1286194210E+00    0.2169839352E-01    0.3982035958E+01    0.1771651145E+03
       294    0.1443352298E+01    0.1306602826E+01   -0.3327965804E+01    0.9141276685E+02
       295    0.1483251231E+01    0.1208144046E+01   -0.3304157881E+01    0.1542446199E+03
       296    0.1339557717E+01    0.1264396848E+01   -0.2564122962E+01    0.3929149087E+02
       297    0.1369749574E+01    0.1294335466E+01   -0.2603339177E+01    0.2354036225E+02
       298    0.1362132238E+01    0.1163306438E+01   -0.2523669027E+01    0.1021233439E+03
       299    0.1082993833E+01    0.1062004141E+01   -0.2481874830E+01    0.1649551970E+03
       300    0.1522943751E+01    0.1205659048E+01   -0.2641408209E+01    0.8637221529E+02
       301    0.6034834780E+00    0.5206192417E+00    0.1162447352E+01    0.1418914720E+03
       302    0.2264357190E+00    0.2662449012E+00    0.2817080731E+01    0.1371055911E+03
       303    0.1652540620E+00    0.1768276666E+00    0.2783697628E+01    0.1999374441E+03
       304    0.2060207240E+00    0.3803017767E+00    0.2912761398E+01    0.5138996813E+02
       305    0.2109250400E+00    0.3803017767E+00    0.2912761398E+01    0.5138996813E+02
       306    0.3226931310E+00   -0.2126355836E-01    0.3464145419E+01    0.2599969676E+03
       307    0.2349385800E+00    0.1613133678E+00    0.3507239238E+01    0.1343332614E+03
       308    0.1728826780E+00    0.1613133678E+00    0.3507239238E+01    0.1343332614E+03
       309    0.1615346380E+01    0.1420765418E+01   -0.3859424281E+01    0.7141276683E+02
       310    0.1597114150E+01    0.1517675206E+01   -0.3873434276E+01    0.8580913729E+01
       311    0.1379044842E+01    0.1384664638E+01   -0.3365364765E+01    0.4354036225E+02
       312    0.1415827076E+01    0.1320603064E+01   -0.3327965804E+01    0.8212334395E+02
       313    0.1526309587E+01    0.1418270748E+01   -0.3346769764E+01    0.1929149085E+02
       314    0.1151824552E+01    0.1094202267E+01   -0.2656332922E+01    0.1618914721E+03
       315    0.1305478432E+01    0.1184151184E+01   -0.2626312905E+01    0.9905961896E+02
       316    0.5298426890E+00    0.5612150349E+00    0.1359606670E+01    0.9427373797E+02
       317    0.2203301580E+00    0.4204741417E+00    0.2875251595E+01    0.2866955533E+02
